iteration,mean_reward,final_portfolio_value
1,0.00803271296488955,1.5211443560843343
2,0.002428786663319633,1.0631146456847205
3,0.007758021563235279,1.3412521386663645
4,0.0052256938997562435,0.9481115536530681
5,0.004344881643369181,1.0993737217271777
6,0.006054145925699509,1.2185183929589243
7,0.0036392481008729037,1.072302205227982
8,0.002647926962991339,0.9934452969919175
9,0.006887859507325394,1.3484351408530453
10,0.0041582287406167215,1.104272374533556
11,0.007810183511240513,1.430276549467419
12,0.006053204754050746,1.5065095180229287
13,-0.0003021744458079504,0.9145651926451427
14,0.009450622068723817,1.5784604643136502
15,0.008731525684885411,1.4952633977733412
16,0.004652225195313648,1.2852472834963216
17,0.0073369058390415605,1.2812216252799644
18,0.012768757854012389,1.7319970928678152
19,0.0054101714602979014,1.3207900203788274
20,0.01241305624028709,1.9486185143655863
21,0.009333533641867795,1.417288615388302
22,0.005600899339090254,1.295300976336737
23,7.937224496165584e-05,0.8533100167706701
24,0.004973738139453148,1.3585151808640699
25,0.00515655445220511,1.3314384581388221
26,0.005354924090768213,1.3148788456099905
27,0.008117074481854255,1.9560867551058911
28,0.005651466414351759,1.4823689500987607
29,0.0020404750015034718,0.9409772931801776
30,0.004506410985122788,1.1884328811769842
31,0.005417394382595992,1.1828115805732329
32,0.005834566318930309,1.5265708361621135
33,0.011632516608561051,1.8400654868668365
34,0.006792928727053593,1.2402959714207247
35,-0.000287714905640283,0.9226815420045408
36,-0.0015591879630068174,0.8540114084714031
37,0.010168590177660655,1.8174619789603972
38,0.004449461102054495,1.1557532076635493
39,0.004422151053921736,1.1962460116356937
40,0.00868162239841056,1.3667443942376456
41,0.004156377916968355,1.5024477032146086
42,-0.0010783113859282288,0.8774080611026933
43,0.009887243895557384,1.4691730908507168
44,0.002507690711860957,1.0730437322117852
45,-0.0031701165661193152,0.7740324177356881
46,0.007369268425776476,1.8913845877795075
47,0.010101445288830798,1.4835609176277895
48,0.0008319654825988828,0.9712762487649318
49,0.006435281204642114,1.2481821078012594
50,0.0055265159037344675,1.3236317335003434
51,0.005657813348651149,1.2851219863882286
52,-0.00018077762795243248,0.8542531995768249
53,0.003381098574473218,1.0672391083450328
54,0.0046037451562797385,1.2358315536999465
55,0.007832694592104542,1.3091082673613892
56,0.0039642036757312794,1.1033806484554123
57,-0.001905026695171252,0.8367797528907872
58,0.004237336365594045,1.188387047395886
59,-0.0009784566568159369,0.8876915551608615
60,0.006084879757949586,1.2544912496181588
61,0.0058888718526878495,1.4225913049619836
62,0.006112285079501333,1.1944097172620978
63,0.001287440420989616,0.9466728930503645
64,0.007345909146136743,1.6901504481327532
65,0.006032304986487644,1.2991468002159983
66,0.0062754861708214996,1.2303493324806931
67,0.006284643392691021,1.3592675803436427
68,-0.002908397228225472,0.7496067008714864
69,0.007529920246824195,1.6768103912929626
70,0.006816026154230966,1.557912723794527
71,0.005182409973823577,1.3965081096470993
72,0.009390038601000038,1.6117967645829572
73,0.00852333051974157,1.3056227048058844
74,0.009619200536009951,1.5746832489318607
75,0.004699548559603961,1.2276225347208245
76,0.005205607034763481,1.4274182788308012
77,0.0058361206914913245,1.138094462496911
78,0.012371345594730916,1.689251184201896
79,-0.0001612715205344331,0.8711631552038102
80,-0.0015036764755991677,0.8540552047667715
81,0.0013007713846322907,0.9733898137656329
82,0.00955305725024772,1.5620246871511132
83,0.00013344353218234346,0.9746389193925542
84,0.008649136832529809,1.2658378655867273
85,0.009405140475075884,1.4831785757423446
86,0.006595772674433431,1.589885289034703
87,0.010150250614486142,1.6799867008493408
88,0.005741614455784461,1.169986008210794
89,0.005981324286556473,1.416893756489876
90,0.0036005892409195924,1.2035587078368524
91,0.004313876192089626,1.1248392653798918
92,0.006493739388368554,1.4012234841279514
93,0.005184086889327733,1.2120123007683528
94,-0.002814671489640691,0.761502183621177
95,0.005743771972374972,1.366394053716247
96,0.006060927840371365,1.5020220301262743
97,0.012476728924171112,1.753455477155604
98,0.0055957071995984455,1.2139667910611867
99,0.006418677704207095,1.3837649625866177
100,0.00953163851559967,1.5771136709202906
